TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
EUR Corp Bond Financials,ISHARES EURO CORP BOND FIN,Europa,A1T94L,IE00B87RLX93,270306
EURO STOXX 50 ex-Financials,ISH ESTX EX FINAN,Europa,A1W8RE,IE00BD5J2G21,52028
France Govt Bond,ISHARES FRANCE GOVERNMENT BOND,France,A1JXZF,IE00B7LGZ558,270333
MSCI France,MSCI FRANCE UCITS ETF,France,A12ATD,IE00BP3QZJ36,154134
MSCI World,ISHARES MSCI WORLD,Global,A0HGV0,IE00B0M62Q58,42578
Core MSCI World,ISHARES MSCI WORLD (Acc),Global,A0RPWH,IE00B4L5Y983,44039
Gold Producers,ISHARES GOLD PRODUCERS,Global,A1JKQJ,IE00B6R52036,270345
Core MSCI EM IMI (Acc),ISHARES MSCI EMERGIN MARKETS IMI,Global,A111X9,IE00BKM4GZ66,49598
Global Water,ISHARES GLOBAL WATER UCITS ETF I,Global,A0MM0S,IE00B1TXK627,257697
Oil & Gas Exploration & Production,ISHARES OIL & GAS EXPLORATION & PRODUCTION,Global,A1JKQL,IE00B6R51Z18,270348
Edge MSCI World Minimum Volatility,ISHARES EDGE MSCI WORLD MIN VOL.,Global,A1J781,IE00B8FHGS14,270963
Automation & Robotics,ISHARES AUTOMATION & ROBOTICS,Global,A2ANH0,IE00BYZK4552,329641
Digitalisation,ISHARES DIGITALISATION,Global,A2ANH3,IE00BYZK4883,329644
Edge MSCI World Quality Factor,MSCI WORLD QUALITY FACTOR UCITS ETF,Global,A12ATE,IE00BP3QZ601,154149
MSCI EM USD (Dist),ISHARES MSCI EMER. MARK.,Global,A0HGWC,IE00B0M63177,48803
MSCI EM Consumer Growth,ISHSV-MSCI EM CO.GWTH DLA,Global,A111YA,IE00BKM4H197,270360
Global Clean Energy,ISHARES GLOBAL CLEAN ENERGY UCIT,Global,A0MW0M,IE00B1XNHC34,257166
Fallen Angels High Yield Corp Bond,ISHARES HIGH YIELD CORP,Global,A2AFCX,IE00BYM31M36,378503
Developed Markets Property Yield,ISHARES DEVELOPED MARKETS PROPER,Global,A0LEW8,IE00B1FZS350,257193
MSCI EM Islamic,ISHARES MSCI EMERGING MARKETS IS,Global,A0NA47,IE00B27YCP72,257169
EM Infrastructure,ISHARES EMERGING MARKET INFRASTR,Global,A0NECV,IE00B2NPL135,257172
Global Govt Bond,ISHARES GLOBAL GOV. BOND,Global,A0RGEM,IE00B3F81K65,262348
MSCI World GBP Hedged (Acc),ISHARES MSCI WORLD GBP HEDGED,Global,A1C5E8,IE00B42YS929,380141
Physical Silver ETC,ISHARES PHYS.MET.O.END ZT,Global,A1KWPR,IE00B4NCWG09,381098
Dow Jones Global Sustainability Screened,ISHARES DOW JONES GLOBAL SUSTAIN,Global,A1H7ZT,IE00B57X3V84,259638
EM Dividend,ISHARES EMERGING MARKETS DIVIDEND,Global,A1JNZ9,IE00B652H904,270354
MSCI ACWI,ISHARES MSCI ACWI,Global,A1JMDF,IE00B6R52259,270966
J.P. Morgan USD EM Corp Bond,ISHARES $ EMERGING MARKETS CORPORATE BOND,Global,A1JWS3,IE00B6TLBW47,270654
Global Corp Bond,I-SHAR GLOBAL CORP. BOND,Global,A1J0YD,IE00B7J7TB45,251481
Global Aggregate Bond,ISHARES GLOBAL AGGREGATE,Global,A2H6ZT,IE00BDBRDM35,553959
Edge MSCI World Value Factor,MSCI WORLD VALUE FACTOR UCITS ETF,Global,A12ATG,IE00BP3QZB59,154155
Edge MSCI World Size Factor,MSCI WORLD SIZE FACTOR UCITS ETF,Global,A12ATH,IE00BP3QZD73,154152
MSCI EM SRI,ISHARES SUST MSCI EM SRI,Global,A2AFCZ,IE00BYVJRP78,317152
Healthcare Innovation,ISHARES HEALTHCARE INNOVATION,Global,A2ANH2,IE00BYZK4776,329647
